,COUNTYFP,TRACTCE,GEOID,geometry,Estimated Pop. Under 5,Percent Under 5
27,047,016900,36047016900,"POLYGON ((-73.98448 40.659598, -73.983918 40.660137, -73.983237 40.660937, -73.982231 40.662142, -73.980171 40.661155, -73.980061 40.660791, -73.977511 40.659863, -73.978514 40.658656, -73.979023 40.658052, -73.979513 40.657479, -73.98007 40.65694, -73.980653 40.656381, -73.985071 40.659029, -73.98448 40.659598))",294,5.6
28,047,054600,36047054600,"POLYGON ((-73.955786 40.616036, -73.954587 40.616169, -73.953553 40.616281, -73.953046 40.61362, -73.95212 40.613721, -73.950265 40.613924, -73.949784 40.611372, -73.950706 40.61125, -73.952577 40.611037, -73.954796 40.61082, -73.955283 40.613375, -73.955786 40.616036))",572,10.5
29,005,030000,36005030000,"POLYGON ((-73.835041 40.853127, -73.833906 40.854468, -73.831575 40.85538, -73.831291 40.855434, -73.828602 40.855718, -73.827355 40.85283, -73.827185 40.851711, -73.827997 40.848624, -73.828855 40.84969, -73.83043 40.849164, -73.830542 40.849218, -73.831309 40.849308, -73.833105 40.849479, -73.834001 40.849561, -73.835801 40.849677, -73.835041 40.853127))",278,4.2
30,081,083700,36081083700,"POLYGON ((-73.825844 40.749348, -73.825697 40.750998, -73.824233 40.751855, -73.823213 40.750708, -73.822396 40.749864, -73.821319 40.748758, -73.81962 40.748042, -73.81782 40.747385, -73.815373 40.747218, -73.814162 40.746139, -73.813758 40.745746, -73.814309 40.742974, -73.814811 40.741367, -73.814995 40.740787, -73.815057 40.738987, -73.815922 40.739184, -73.81951 40.74036, -73.825383 40.742295, -73.824262 40.744421, -73.823843 40.745097, -73.82334 40.746652, -73.823256 40.747528, -73.825986 40.748311, -73.825844 40.749348))",321,5.8
31,047,036700,36047036700,"POLYGON ((-73.907833 40.678116, -73.905493 40.680037, -73.904791 40.679641, -73.904046 40.67922, -73.903466 40.678897, -73.900627 40.677265, -73.89999 40.6769, -73.900792 40.676572, -73.902535 40.675884, -73.903463 40.676016, -73.90524 40.676145, -73.907125 40.676248, -73.908088 40.67619, -73.907833 40.678116))",185,9.5
32,081,137700,36081137700,"POLYGON ((-73.756866 40.749361, -73.752312 40.750459, -73.750368 40.750777, -73.75033 40.750661, -73.748715 40.751073, -73.746808 40.752028, -73.745779 40.751561, -73.744151 40.748217, -73.743967 40.74763, -73.745931 40.745716, -73.744776 40.743281, -73.747849 40.743296, -73.748877 40.743288, -73.753473 40.742405, -73.753978 40.743518, -73.754788 40.745277, -73.754951 40.745618, -73.755801 40.747332, -73.756698 40.749076, -73.756866 40.749361))",347,4.4
33,081,046902,36081046902,"POLYGON ((-73.877159 40.746865, -73.876789 40.747511, -73.876252 40.748439, -73.873701 40.748717, -73.873303 40.748758, -73.873978 40.747865, -73.874442 40.747262, -73.874896 40.74667, -73.875362 40.746066, -73.876282 40.744869, -73.877904 40.74559, -73.877159 40.746865))",261,6.2
34,061,026900,36061026900,"POLYGON ((-73.932861 40.850506, -73.932433 40.851095, -73.931495 40.85238, -73.930996 40.853062, -73.930539 40.853685, -73.929147 40.8531, -73.927695 40.852488, -73.928659 40.851184, -73.930013 40.849314, -73.930621 40.848481, -73.931393 40.847428, -73.932849 40.848038, -73.934239 40.848626, -73.932861 40.850506))",294,3.1
35,047,025901,36047025901,"POLYGON ((-73.949207 40.695378, -73.946366 40.695704, -73.943526 40.696031, -73.943388 40.695289, -73.943243 40.694558, -73.946078 40.69423, -73.948914 40.693905, -73.94906 40.694637, -73.949207 40.695378))",148,7.1
36,061,031703,36061031703,"MULTIPOLYGON (((-74.017338 40.712251, -74.01663 40.712117, -74.017894 40.712356, -74.017338 40.712251)), ((-74.01663 40.712117, -74.016546 40.712469, -74.01662 40.712662, -74.016593 40.712882, -74.016532 40.713008, -74.016387 40.713106, -74.016326 40.713411, -74.017211 40.713544, -74.017606 40.713648, -74.017416 40.714949, -74.01671 40.718702, -74.013287 40.718311, -74.013046 40.719086, -74.012292 40.719039, -74.012731 40.717114, -74.013195 40.715203, -74.0137 40.713668, -74.014147 40.712213, -74.014358 40.711006, -74.01663 40.712117)))",556,8.7
37,047,077600,36047077600,"POLYGON ((-73.945617 40.631778, -73.944629 40.631838, -73.940788 40.632076, -73.937593 40.632268, -73.937013 40.632304, -73.936767 40.629973, -73.939605 40.629795, -73.941509 40.629678, -73.943409 40.62956, -73.944155 40.629508, -73.945511 40.630792, -73.946479 40.631708, -73.945617 40.631778))",109,2.8
38,005,007600,36005007600,"POLYGON ((-73.871102 40.835755, -73.869994 40.83565, -73.869033 40.835486, -73.866806 40.834837, -73.862837 40.833688, -73.862721 40.833021, -73.863657 40.832652, -73.866355 40.831874, -73.86815 40.83136, -73.870007 40.83082, -73.870375 40.832405, -73.8709 40.834645, -73.871102 40.835755))",501,9.5
39,081,033900,36081033900,"POLYGON ((-73.881748 40.761705, -73.880818 40.761807, -73.878954 40.761984, -73.878315 40.758464, -73.87793 40.756339, -73.879789 40.756147, -73.880719 40.756049, -73.881104 40.758171, -73.881748 40.761705))",194,7.0
40,081,100801,36081100801,"MULTIPOLYGON (((-73.760021 40.611349, -73.762084 40.612732, -73.763454 40.61369, -73.760021 40.611349)), ((-73.760021 40.611349, -73.75891 40.611206, -73.759334 40.611258, -73.759631 40.611297, -73.760021 40.611349)), ((-73.759824 40.609647, -73.760953 40.606452, -73.761345 40.606541, -73.769497 40.607109, -73.76992 40.606596, -73.770002 40.606904, -73.770017 40.607097, -73.769967 40.607225, -73.769865 40.607414, -73.769803 40.607529, -73.769825 40.607661, -73.769846 40.607788, -73.769775 40.607933, -73.76966 40.608039, -73.769572 40.608157, -73.769497 40.608293, -73.769293 40.608373, -73.769212 40.608474, -73.769146 40.608664, -73.769085 40.608786, -73.769014 40.608971, -73.768935 40.609157, -73.768968 40.60926, -73.769001 40.609392, -73.769088 40.609578, -73.769216 40.609727, -73.769309 40.609784, -73.769501 40.609896, -73.769661 40.610006, -73.769954 40.610146, -73.770015 40.610169, -73.770242 40.61025, -73.770369 40.610195, -73.770533 40.610191, -73.77059 40.610161, -73.770735 40.610273, -73.770822 40.61034, -73.770968 40.610367, -73.771126 40.610362, -73.771263 40.610398, -73.771367 40.610527, -73.771516 40.610585, -73.771624 40.61062, -73.771739 40.61073, -73.771847 40.610824, -73.771895 40.610931, -73.771928 40.611011, -73.771964 40.611129, -73.77199 40.611254, -73.772053 40.611349, -73.772125 40.611454, -73.77228 40.611506, -73.772386 40.6115, -73.772693 40.611424, -73.773021 40.61131, -73.773263 40.611212, -73.773404 40.61109, -73.773382 40.610987, -73.773236 40.610786, -73.773066 40.610494, -73.772957 40.610331, -73.772885 40.610201, -73.772888 40.610159, -73.772963 40.610153, -73.773 40.610199, -73.773066 40.610297, -73.77341 40.610783, -73.773492 40.610917, -73.773605 40.61107, -73.773724 40.611195, -73.773781 40.611284, -73.773807 40.611408, -73.773811 40.611612, -73.773855 40.611779, -73.773886 40.611937, -73.773914 40.61206, -73.773971 40.612113, -73.774018 40.612028, -73.774081 40.611926, -73.774131 40.611816, -73.774172 40.611831, -73.774132 40.611943, -73.774092 40.612024, -73.774043 40.61211, -73.774033 40.612238, -73.774014 40.612349, -73.773977 40.612508, -73.773935 40.612644, -73.773901 40.61274, -73.773855 40.612887, -73.773817 40.612954, -73.773726 40.61312, -73.773688 40.61321, -73.773621 40.613277, -73.773567 40.613465, -73.773448 40.613646, -73.773315 40.613688, -73.772999 40.61356, -73.772663 40.613668, -73.772416 40.61376, -73.772166 40.613845, -73.771702 40.613965, -73.771566 40.613972, -73.771213 40.613941, -73.77108 40.613995, -73.770807 40.61401, -73.77039 40.614045, -73.770069 40.614062, -73.769809 40.613992, -73.769331 40.613975, -73.769067 40.614052, -73.768858 40.614069, -73.768371 40.614224, -73.768259 40.614221, -73.768031 40.6142, -73.767684 40.614164, -73.767172 40.614249, -73.766819 40.614291, -73.766599 40.614257, -73.766409 40.614204, -73.766195 40.614071, -73.765972 40.613921, -73.765525 40.613889, -73.76521 40.613784, -73.765149 40.613733, -73.76506 40.613589, -73.765026 40.613521, -73.765016 40.613458, -73.765028 40.613402, -73.765053 40.613363, -73.765121 40.613323, -73.765146 40.613207, -73.765153 40.613109, -73.765157 40.612987, -73.765146 40.612899, -73.765121 40.612788, -73.765108 40.612645, -73.765118 40.612523, -73.765109 40.612457, -73.765044 40.612402, -73.764982 40.612343, -73.764994 40.612294, -73.765053 40.612251, -73.765104 40.612172, -73.765119 40.612118, -73.765087 40.61206, -73.76506 40.612035, -73.764987 40.612002, -73.764811 40.611924, -73.764595 40.611846, -73.764354 40.611801, -73.764199 40.611797, -73.763998 40.611761, -73.763842 40.611758, -73.763722 40.611757, -73.763613 40.611751, -73.763517 40.611694, -73.763425 40.611714, -73.763273 40.61169, -73.763163 40.611636, -73.763026 40.611609, -73.762897 40.611553, -73.762686 40.611458, -73.762541 40.611407, -73.762396 40.611375, -73.762299 40.611359, -73.761724 40.611847, -73.760236 40.610821, -73.760767 40.610185, -73.76087 40.610198, -73.761173 40.609839, -73.761782 40.609152, -73.761544 40.609039, -73.75998 40.610869, -73.759491 40.610816, -73.759736 40.610155, -73.759824 40.609647)), ((-73.766046 40.614486, -73.766719 40.615004, -73.765244 40.614942, -73.766046 40.614486)))",213,7.0
41,081,155101,36081155101,"POLYGON ((-73.720145 40.757911, -73.718769 40.758804, -73.716986 40.759428, -73.713325 40.75973, -73.707825 40.756216, -73.712769 40.751912, -73.71355 40.75367, -73.715411 40.755678, -73.717753 40.755348, -73.721489 40.756427, -73.720145 40.757911))",0,0.0
42,005,034500,36005034500,"POLYGON ((-73.901837 40.901556, -73.901679 40.902289, -73.90127 40.903039, -73.90097 40.903387, -73.900385 40.903845, -73.900717 40.905468, -73.900007 40.908129, -73.8992 40.907712, -73.896546 40.907507, -73.896411 40.904505, -73.896409 40.902961, -73.897035 40.900288, -73.899824 40.901042, -73.901958 40.901294, -73.901837 40.901556))",65,1.8
43,061,013203,36061013203,"POLYGON ((-73.953649 40.771024, -73.953188 40.771657, -73.952686 40.77234, -73.950435 40.771391, -73.950932 40.770709, -73.951398 40.770073, -73.951858 40.769441, -73.954112 40.770389, -73.953649 40.771024))",319,7.2
44,047,025100,36047025100,"POLYGON ((-73.951464 40.689864, -73.948185 40.690242, -73.947893 40.688776, -73.947748 40.688044, -73.947602 40.687311, -73.947456 40.686578, -73.94731 40.685846, -73.95059 40.685467, -73.950883 40.686933, -73.951175 40.6884, -73.951464 40.689864))",106,2.6
45,061,009100,36061009100,"POLYGON ((-73.998486 40.745294, -73.998009 40.745952, -73.997552 40.746581, -73.997099 40.747205, -73.994262 40.746004, -73.991419 40.744802, -73.992318 40.743568, -73.993292 40.742233, -73.996129 40.743431, -73.998972 40.74463, -73.998486 40.745294))",132,2.0
46,047,025200,36047025200,"POLYGON ((-73.99492 40.621994, -73.994293 40.622597, -73.99184 40.621111, -73.989566 40.619738, -73.987435 40.618455, -73.988066 40.617852, -73.988688 40.617249, -73.990795 40.618523, -73.991518 40.617819, -73.993877 40.619156, -73.996393 40.620582, -73.99492 40.621994))",292,5.3
